st3
Re        6e+05
M            0
N            1
VACC            0 VACCflag 1
XTR         0.05         0.05 XTRflag 1
alpha,cl,cd,cdp,cm
       -11.2,     -0.7781,     0.03306,     0.02698,     -0.0749
       -11.1,     -0.7725,      0.0314,     0.02517,     -0.0754
         -11,     -0.7655,     0.03018,     0.02382,     -0.0758
       -10.9,     -0.7578,     0.02919,     0.02271,      -0.076
       -10.8,     -0.7497,     0.02831,     0.02174,     -0.0762
       -10.7,     -0.7411,     0.02755,     0.02088,     -0.0764
       -10.6,     -0.7322,     0.02686,      0.0201,     -0.0765
       -10.5,     -0.7231,     0.02623,     0.01938,     -0.0766
       -10.4,     -0.7138,     0.02566,     0.01872,     -0.0767
       -10.3,     -0.7043,     0.02512,      0.0181,     -0.0768
       -10.2,     -0.6946,     0.02462,     0.01751,     -0.0769
       -10.1,     -0.6848,     0.02414,     0.01696,      -0.077
         -10,     -0.6748,      0.0237,     0.01644,      -0.077
        -9.9,     -0.6648,     0.02328,     0.01595,     -0.0771
        -9.8,     -0.6547,     0.02288,     0.01548,     -0.0771
        -9.7,     -0.6444,      0.0225,     0.01504,     -0.0772
        -9.6,     -0.6341,     0.02214,     0.01462,     -0.0773
        -9.5,     -0.6237,      0.0218,     0.01421,     -0.0773
        -9.4,     -0.6132,     0.02147,     0.01381,     -0.0774
        -9.3,     -0.6027,     0.02115,     0.01344,     -0.0774
        -9.2,      -0.592,     0.02085,     0.01308,     -0.0775
        -9.1,     -0.5814,     0.02056,     0.01273,     -0.0775
          -9,     -0.5707,     0.02029,     0.01239,     -0.0775
        -8.9,     -0.5599,     0.02002,     0.01207,     -0.0776
        -8.8,     -0.5491,     0.01976,     0.01175,     -0.0776
        -8.7,     -0.5382,     0.01952,     0.01145,     -0.0777
        -8.6,     -0.5273,     0.01928,     0.01116,     -0.0777
        -8.5,     -0.5164,     0.01905,     0.01088,     -0.0778
        -8.4,     -0.5054,     0.01883,     0.01061,     -0.0778
        -8.3,     -0.4944,     0.01862,     0.01035,     -0.0779
        -8.2,     -0.4833,     0.01841,     0.01009,     -0.0779
        -8.1,     -0.4723,     0.01821,     0.00984,      -0.078
          -8,     -0.4612,     0.01802,      0.0096,      -0.078
        -7.9,       -0.45,     0.01783,     0.00937,     -0.0781
        -7.8,     -0.4389,     0.01765,     0.00915,     -0.0781
        -7.7,     -0.4277,     0.01748,     0.00893,     -0.0782
        -7.6,     -0.4165,     0.01731,     0.00872,     -0.0782
        -7.5,     -0.4053,     0.01715,     0.00852,     -0.0783
        -7.4,      -0.394,     0.01699,     0.00832,     -0.0783
        -7.3,     -0.3828,     0.01684,     0.00812,     -0.0783
        -7.2,     -0.3715,     0.01669,     0.00794,     -0.0784
        -7.1,     -0.3602,     0.01655,     0.00775,     -0.0784
          -7,     -0.3489,     0.01641,     0.00758,     -0.0785
        -6.9,     -0.3376,     0.01628,     0.00741,     -0.0785
        -6.8,     -0.3262,     0.01615,     0.00724,     -0.0786
        -6.7,     -0.3149,     0.01602,     0.00708,     -0.0786
        -6.6,     -0.3035,      0.0159,     0.00692,     -0.0787
        -6.5,     -0.2921,     0.01578,     0.00677,     -0.0787
        -6.4,     -0.2807,     0.01567,     0.00663,     -0.0788
        -6.3,     -0.2693,     0.01556,     0.00648,     -0.0788
        -6.2,     -0.2579,     0.01545,     0.00635,     -0.0789
        -6.1,     -0.2465,     0.01535,     0.00621,     -0.0789
          -6,      -0.235,     0.01525,     0.00608,      -0.079
        -5.9,     -0.2236,     0.01515,     0.00595,      -0.079
        -5.8,     -0.2122,     0.01506,     0.00583,     -0.0791
        -5.7,     -0.2007,     0.01497,     0.00571,     -0.0791
        -5.6,     -0.1892,     0.01488,      0.0056,     -0.0792
        -5.5,     -0.1778,      0.0148,     0.00548,     -0.0793
        -5.4,     -0.1663,     0.01472,     0.00538,     -0.0793
        -5.3,     -0.1548,     0.01464,     0.00527,     -0.0794
        -5.2,     -0.1433,     0.01456,     0.00517,     -0.0794
        -5.1,     -0.1318,     0.01449,     0.00507,     -0.0795
          -5,     -0.1203,     0.01442,     0.00498,     -0.0795
        -4.9,     -0.1088,     0.01435,     0.00488,     -0.0796
        -4.8,     -0.0973,     0.01428,     0.00479,     -0.0796
        -4.7,     -0.0858,     0.01422,      0.0047,     -0.0797
        -4.6,     -0.0743,     0.01416,     0.00462,     -0.0797
        -4.5,     -0.0628,      0.0141,     0.00454,     -0.0798
        -4.4,     -0.0513,     0.01404,     0.00446,     -0.0798
        -4.3,     -0.0397,     0.01399,     0.00439,     -0.0799
        -4.2,     -0.0282,     0.01394,     0.00432,     -0.0799
        -4.1,     -0.0167,     0.01389,     0.00425,       -0.08
          -4,     -0.0052,     0.01384,     0.00418,       -0.08
        -3.9,      0.0064,     0.01379,     0.00411,     -0.0801
        -3.8,      0.0179,     0.01374,     0.00405,     -0.0801
        -3.7,      0.0294,      0.0137,     0.00398,     -0.0802
        -3.6,      0.0409,     0.01366,     0.00392,     -0.0803
        -3.5,      0.0525,     0.01362,     0.00387,     -0.0803
        -3.4,       0.064,     0.01358,     0.00381,     -0.0804
        -3.3,      0.0755,     0.01354,     0.00376,     -0.0804
        -3.2,      0.0871,     0.01351,     0.00371,     -0.0805
