st6
Re        4e+05
M            0
N            1
VACC            0 VACCflag 1
XTR         0.05         0.05 XTRflag 1
alpha,cl,cd,cdp,cm
         -20,     -0.6347,     0.25028,       0.245,      0.0278
       -19.9,     -0.6313,     0.24897,     0.24369,      0.0271
       -19.8,     -0.6279,     0.24766,     0.24236,      0.0263
       -19.7,     -0.6245,     0.24634,     0.24104,      0.0255
       -19.6,     -0.6212,     0.24503,     0.23972,      0.0248
       -19.5,     -0.6178,     0.24372,      0.2384,       0.024
       -19.4,     -0.6144,      0.2424,     0.23707,      0.0233
       -19.3,     -0.6111,     0.24108,     0.23575,      0.0225
       -19.2,     -0.6077,     0.23976,     0.23442,      0.0218
       -19.1,     -0.6044,     0.23844,     0.23309,       0.021
         -19,      -0.601,     0.23712,     0.23177,      0.0203
       -18.9,     -0.5977,      0.2358,     0.23044,      0.0196
       -18.8,     -0.5944,     0.23447,      0.2291,      0.0188
       -18.7,     -0.5911,     0.23314,     0.22777,      0.0181
       -18.6,     -0.5877,      0.2318,     0.22642,      0.0174
       -18.5,     -0.5844,     0.23046,     0.22508,      0.0167
       -18.4,     -0.5811,     0.22912,     0.22372,      0.0159
       -18.3,     -0.5778,     0.22776,     0.22236,      0.0152
       -18.2,     -0.5745,     0.22641,       0.221,      0.0145
       -18.1,     -0.5712,     0.22505,     0.21964,      0.0138
         -18,     -0.5679,     0.22369,     0.21827,      0.0131
       -17.9,     -0.5646,     0.22233,     0.21691,      0.0124
       -17.8,     -0.5614,     0.22097,     0.21554,      0.0117
       -17.7,     -0.5581,      0.2196,     0.21416,       0.011
       -17.6,     -0.5549,     0.21823,     0.21279,      0.0103
       -17.5,     -0.5517,     0.21687,     0.21141,      0.0096
       -17.4,     -0.5484,     0.21549,     0.21003,       0.009
       -17.3,     -0.5452,     0.21412,     0.20865,      0.0083
       -17.2,      -0.542,     0.21275,     0.20727,      0.0076
       -17.1,     -0.5389,     0.21137,     0.20589,      0.0069
         -17,     -0.5357,     0.20999,     0.20451,      0.0063
       -16.9,     -0.5326,     0.20861,     0.20312,      0.0056
       -16.8,     -0.5295,     0.20723,     0.20173,       0.005
       -16.7,     -0.5263,     0.20584,     0.20034,      0.0043
       -16.6,     -0.5233,     0.20446,     0.19895,      0.0037
       -16.5,     -0.5202,     0.20307,     0.19756,       0.003
       -16.4,     -0.5171,     0.20168,     0.19616,      0.0024
       -16.3,     -0.5141,      0.2003,     0.19477,      0.0018
       -16.2,     -0.5111,     0.19891,     0.19338,      0.0011
       -16.1,     -0.5081,     0.19752,     0.19199,      0.0005
         -16,     -0.5051,     0.19614,     0.19059,     -0.0001
       -15.9,     -0.5022,     0.19475,      0.1892,     -0.0007
       -15.8,     -0.4993,     0.19337,     0.18781,     -0.0013
       -15.7,     -0.4964,     0.19198,     0.18642,     -0.0019
       -15.6,     -0.4935,     0.19059,     0.18503,     -0.0025
