st5
Re        1e+06
M            0
N            1
VACC            0 VACCflag 1
XTR         0.05         0.05 XTRflag 1
alpha,cl,cd,cdp,cm
         -20,     -0.6238,     0.24632,     0.24197,      0.0278
       -19.9,     -0.6205,     0.24494,     0.24059,       0.027
       -19.8,     -0.6172,     0.24356,     0.23921,      0.0263
       -19.7,     -0.6138,     0.24218,     0.23782,      0.0255
       -19.6,     -0.6106,      0.2408,     0.23643,      0.0247
       -19.5,     -0.6073,     0.23942,     0.23505,       0.024
       -19.4,      -0.604,     0.23802,     0.23365,      0.0232
       -19.3,     -0.6007,     0.23664,     0.23226,      0.0225
       -19.2,     -0.5975,     0.23525,     0.23086,      0.0217
       -19.1,     -0.5942,     0.23385,     0.22945,       0.021
         -19,      -0.591,     0.23245,     0.22805,      0.0202
       -18.9,     -0.5878,     0.23104,     0.22664,      0.0195
       -18.8,     -0.5845,     0.22962,     0.22521,      0.0188
       -18.7,     -0.5813,      0.2282,     0.22378,       0.018
       -18.6,     -0.5781,     0.22676,     0.22234,      0.0173
       -18.5,     -0.5749,     0.22534,     0.22091,      0.0166
       -18.4,     -0.5717,      0.2239,     0.21946,      0.0158
       -18.3,     -0.5685,     0.22245,     0.21801,      0.0151
       -18.2,     -0.5653,     0.22102,     0.21657,      0.0144
       -18.1,     -0.5622,     0.21958,     0.21513,      0.0137
         -18,     -0.5591,     0.21814,     0.21368,       0.013
       -17.9,     -0.5559,      0.2167,     0.21224,      0.0122
       -17.8,     -0.5528,     0.21527,     0.21081,      0.0115
       -17.7,     -0.5497,     0.21385,     0.20938,      0.0108
       -17.6,     -0.5466,     0.21243,     0.20796,      0.0101
       -17.5,     -0.5435,     0.21103,     0.20655,      0.0095
       -17.4,     -0.5403,     0.20963,     0.20515,      0.0088
       -17.3,     -0.5372,     0.20825,     0.20376,      0.0081
       -17.2,     -0.5341,     0.20688,     0.20239,      0.0074
       -17.1,      -0.531,     0.20551,     0.20102,      0.0067
         -17,     -0.5279,     0.20417,     0.19967,      0.0061
       -16.9,     -0.5248,     0.20283,     0.19832,      0.0054
       -16.8,     -0.5217,      0.2015,     0.19699,      0.0048
       -16.7,     -0.5186,     0.20018,     0.19567,      0.0041
       -16.6,     -0.5155,     0.19887,     0.19435,      0.0035
       -16.5,     -0.5124,     0.19757,     0.19304,      0.0028
       -16.4,     -0.5094,     0.19627,     0.19174,      0.0022
       -16.3,     -0.5063,     0.19498,     0.19045,      0.0015
       -16.2,     -0.5032,      0.1937,     0.18916,      0.0009
       -16.1,     -0.5002,     0.19243,     0.18788,      0.0003
         -16,     -0.4972,     0.19116,     0.18661,     -0.0003
