st8
Re        3e+05
M            0
N            1
VACC            0 VACCflag 1
XTR         0.05         0.05 XTRflag 1
alpha,cl,cd,cdp,cm
         -20,         nan,         nan,         nan,         nan
       -19.9,         nan,         nan,         nan,         nan
       -19.8,         nan,         nan,         nan,         nan
       -19.7,           0,         nan,         nan,           0
       -19.5,     -0.6826,     0.25041,      0.2449,      0.0398
       -19.4,     -0.6792,     0.24907,     0.24356,      0.0391
       -19.3,     -0.6759,     0.24774,     0.24222,      0.0383
       -19.2,     -0.6725,     0.24641,     0.24088,      0.0375
       -19.1,     -0.6692,     0.24507,     0.23953,      0.0368
         -19,     -0.6658,     0.24374,      0.2382,       0.036
       -18.9,     -0.6625,     0.24241,     0.23685,      0.0353
       -18.8,     -0.6592,     0.24107,     0.23551,      0.0345
       -18.7,     -0.6559,     0.23973,     0.23417,      0.0338
       -18.6,     -0.6526,      0.2384,     0.23282,      0.0331
       -18.5,     -0.6493,     0.23706,     0.23148,      0.0323
       -18.4,      -0.646,     0.23572,     0.23013,      0.0316
       -18.3,     -0.6427,     0.23438,     0.22878,      0.0309
       -18.2,     -0.6394,     0.23304,     0.22744,      0.0302
       -18.1,     -0.6361,     0.23169,     0.22608,      0.0294
         -18,     -0.6328,     0.23034,     0.22472,      0.0287
       -17.9,     -0.6296,     0.22899,     0.22336,       0.028
       -17.8,     -0.6263,     0.22763,     0.22199,      0.0273
       -17.7,      -0.623,     0.22626,     0.22062,      0.0266
       -17.6,     -0.6198,     0.22489,     0.21924,      0.0259
       -17.5,     -0.6165,     0.22352,     0.21786,      0.0252
       -17.4,     -0.6133,     0.22215,     0.21649,      0.0245
       -17.3,     -0.6101,     0.22078,     0.21511,      0.0238
       -17.2,     -0.6068,      0.2194,     0.21372,      0.0231
       -17.1,     -0.6036,     0.21802,     0.21234,      0.0224
         -17,     -0.6004,     0.21664,     0.21095,      0.0218
       -16.9,     -0.5973,     0.21526,     0.20957,      0.0211
       -16.8,     -0.5941,     0.21388,     0.20818,      0.0204
       -16.7,      -0.591,     0.21249,     0.20678,      0.0197
       -16.6,     -0.5878,     0.21111,     0.20539,      0.0191
       -16.5,     -0.5847,     0.20972,       0.204,      0.0184
       -16.4,     -0.5816,     0.20833,      0.2026,      0.0178
       -16.3,     -0.5785,     0.20694,      0.2012,      0.0171
       -16.2,     -0.5755,     0.20554,      0.1998,      0.0165
       -16.1,     -0.5724,     0.20415,      0.1984,      0.0158
         -16,     -0.5694,     0.20276,       0.197,      0.0152
       -15.9,     -0.5664,     0.20136,      0.1956,      0.0146
       -15.8,     -0.5634,     0.19997,      0.1942,      0.0139
       -15.7,     -0.5604,     0.19857,      0.1928,      0.0133
       -15.6,     -0.5575,     0.19717,     0.19139,      0.0127
       -15.5,     -0.5546,     0.19577,     0.18999,      0.0121
       -15.4,     -0.5517,     0.19437,     0.18858,      0.0115
       -15.3,     -0.5488,     0.19297,     0.18718,      0.0109
       -15.2,      -0.546,     0.19157,     0.18577,      0.0103
       -15.1,     -0.5431,     0.19017,     0.18436,      0.0097
         -15,     -0.5403,     0.18877,     0.18295,      0.0091
       -14.9,     -0.5375,     0.18736,     0.18154,      0.0085
       -14.8,     -0.5347,     0.18594,     0.18012,      0.0079
       -14.7,     -0.5319,     0.18452,     0.17869,      0.0074
       -14.6,     -0.5292,     0.18309,     0.17726,      0.0068
       -14.5,     -0.5264,     0.18167,     0.17583,      0.0062
       -14.4,     -0.5237,     0.18024,      0.1744,      0.0056
       -14.3,      -0.521,     0.17881,     0.17297,       0.005
       -14.2,     -0.5183,     0.17739,     0.17154,      0.0045
       -14.1,     -0.5156,     0.17596,      0.1701,      0.0039
         -14,      -0.513,     0.17453,     0.16867,      0.0034
       -13.9,     -0.5104,      0.1731,     0.16723,      0.0028
       -13.8,     -0.5078,     0.17167,      0.1658,      0.0022
       -13.7,     -0.5052,     0.17024,     0.16437,      0.0017
       -13.6,     -0.5027,     0.16881,     0.16293,      0.0012
       -13.5,     -0.5002,     0.16738,      0.1615,      0.0006
       -13.4,     -0.4977,     0.16596,     0.16007,      0.0001
       -13.3,     -0.4953,     0.16453,     0.15865,     -0.0004
       -13.2,     -0.4928,     0.16311,     0.15722,      -0.001
       -13.1,     -0.4904,     0.16168,     0.15579,     -0.0015
         -13,     -0.4879,     0.16026,     0.15436,      -0.002
       -12.9,     -0.4855,     0.15883,     0.15293,     -0.0026
       -12.8,      -0.483,      0.1574,      0.1515,     -0.0031
       -12.7,     -0.4806,     0.15598,     0.15007,     -0.0036
       -12.6,     -0.4782,     0.15456,     0.14865,     -0.0041
       -12.5,     -0.4757,     0.15314,     0.14723,     -0.0047
       -12.4,     -0.4733,     0.15173,     0.14581,     -0.0052
       -12.3,     -0.4709,     0.15033,     0.14441,     -0.0057
       -12.2,     -0.4685,     0.14893,     0.14301,     -0.0062
       -12.1,     -0.4661,     0.14754,     0.14162,     -0.0067
         -12,     -0.4637,     0.14616,     0.14024,     -0.0072
       -11.9,     -0.4614,     0.14479,     0.13886,     -0.0078
       -11.8,      -0.459,     0.14342,     0.13749,     -0.0083
       -11.7,     -0.4566,     0.14207,     0.13613,     -0.0088
       -11.6,     -0.4542,     0.14071,     0.13477,     -0.0093
       -11.5,     -0.4517,     0.13935,     0.13341,     -0.0098
       -11.4,     -0.4493,       0.138,     0.13206,     -0.0103
       -11.3,     -0.4468,     0.13665,     0.13071,     -0.0108
       -11.2,     -0.4443,     0.13532,     0.12938,     -0.0113
