st9
Re        7e+05
M            0
N            1
VACC            0 VACCflag 1
XTR         0.05         0.05 XTRflag 1
alpha,cl,cd,cdp,cm
        -8.4,     -0.5067,     0.02359,     0.01752,     -0.0893
        -8.3,     -0.4967,     0.02226,       0.016,     -0.0899
        -8.2,     -0.4865,     0.02136,     0.01496,     -0.0903
        -8.1,     -0.4761,     0.02063,      0.0141,     -0.0906
          -8,     -0.4656,     0.01999,     0.01334,     -0.0909
        -7.9,      -0.455,     0.01944,     0.01269,     -0.0912
        -7.8,     -0.4443,     0.01896,      0.0121,     -0.0914
        -7.7,     -0.4336,     0.01851,     0.01155,     -0.0915
        -7.6,     -0.4228,     0.01811,     0.01107,     -0.0917
        -7.5,      -0.412,     0.01774,     0.01061,     -0.0919
        -7.4,     -0.4012,      0.0174,     0.01019,      -0.092
        -7.3,     -0.3903,     0.01708,     0.00979,     -0.0921
        -7.2,     -0.3794,     0.01677,     0.00941,     -0.0922
        -7.1,     -0.3685,      0.0165,     0.00907,     -0.0923
          -7,     -0.3575,     0.01625,     0.00876,     -0.0924
        -6.9,     -0.3466,     0.01604,     0.00848,     -0.0925
        -6.8,     -0.3356,     0.01582,     0.00821,     -0.0926
        -6.7,     -0.3246,     0.01562,     0.00794,     -0.0927
        -6.6,     -0.3136,     0.01542,     0.00769,     -0.0928
        -6.5,     -0.3025,     0.01522,     0.00743,     -0.0929
        -6.4,     -0.2915,     0.01503,     0.00719,     -0.0929
        -6.3,     -0.2804,     0.01485,     0.00695,      -0.093
        -6.2,     -0.2694,     0.01466,     0.00671,     -0.0931
        -6.1,     -0.2583,     0.01449,     0.00647,     -0.0932
          -6,     -0.2472,     0.01432,     0.00625,     -0.0932
        -5.9,      -0.236,     0.01416,     0.00604,     -0.0933
        -5.8,     -0.2249,       0.014,     0.00583,     -0.0933
        -5.7,     -0.2138,     0.01385,     0.00563,     -0.0934
        -5.6,     -0.2026,     0.01371,     0.00544,     -0.0935
        -5.5,     -0.1915,     0.01357,     0.00526,     -0.0935
        -5.4,     -0.1803,     0.01344,     0.00508,     -0.0936
        -5.3,     -0.1692,     0.01332,     0.00491,     -0.0936
        -5.2,      -0.158,      0.0132,     0.00474,     -0.0936
        -5.1,     -0.1468,     0.01309,     0.00459,     -0.0937
          -5,     -0.1357,     0.01298,     0.00444,     -0.0937
        -4.9,     -0.1245,     0.01288,      0.0043,     -0.0938
        -4.8,     -0.1133,     0.01278,     0.00417,     -0.0938
        -4.7,     -0.1021,     0.01269,     0.00404,     -0.0939
        -4.6,      -0.091,      0.0126,     0.00392,     -0.0939
        -4.5,     -0.0798,     0.01252,     0.00381,     -0.0939
        -4.4,     -0.0686,     0.01244,     0.00369,      -0.094
        -4.3,     -0.0574,     0.01236,     0.00359,      -0.094
        -4.2,     -0.0462,     0.01229,     0.00348,      -0.094
        -4.1,      -0.035,     0.01222,     0.00338,     -0.0941
          -4,     -0.0239,     0.01216,     0.00328,     -0.0941
        -3.9,     -0.0127,     0.01209,      0.0032,     -0.0941
        -3.8,     -0.0015,     0.01203,     0.00311,     -0.0941
        -3.7,      0.0097,     0.01198,     0.00303,     -0.0942
        -3.6,      0.0209,     0.01192,     0.00295,     -0.0942
        -3.5,      0.0321,     0.01187,     0.00287,     -0.0942
        -3.4,      0.0433,     0.01183,      0.0028,     -0.0943
        -3.3,      0.0545,     0.01178,     0.00273,     -0.0943
        -3.2,      0.0657,     0.01174,     0.00266,     -0.0943
        -3.1,      0.0769,      0.0117,     0.00252,     -0.0943
          -3,      0.0881,     0.01166,     0.00246,     -0.0943
        -2.9,      0.0993,     0.01162,     0.00241,     -0.0944
        -2.8,      0.1104,     0.01159,     0.00235,     -0.0944
        -2.7,      0.1216,     0.01155,      0.0023,     -0.0944
        -2.6,      0.1328,     0.01152,     0.00225,     -0.0944
        -2.5,       0.144,     0.01149,     0.00221,     -0.0944
        -2.4,      0.1552,     0.01146,     0.00217,     -0.0945
        -2.3,      0.1664,     0.01144,     0.00213,     -0.0945
        -2.2,      0.1775,     0.01141,     0.00209,     -0.0945
        -2.1,      0.1887,     0.01139,     0.00205,     -0.0945
          -2,      0.1999,     0.01136,     0.00201,     -0.0945
        -1.9,      0.2111,     0.01133,     0.00198,     -0.0945
        -1.8,      0.2222,      0.0113,     0.00194,     -0.0946
        -1.7,      0.2334,     0.01129,     0.00192,     -0.0946
        -1.6,      0.2446,     0.01126,     0.00189,     -0.0946
        -1.4,      0.2669,     0.01117,     0.00183,     -0.0947
        -1.3,      0.2781,     0.01115,     0.00181,     -0.0947
        -1.2,      0.2892,     0.01114,     0.00179,     -0.0947
        -1.1,      0.3004,     0.01113,     0.00178,     -0.0947
          -1,      0.3116,     0.01112,     0.00177,     -0.0947
        -0.9,      0.3227,      0.0111,     0.00176,     -0.0947
        -0.8,      0.3338,     0.01109,     0.00175,     -0.0948
        -0.7,       0.345,     0.01108,     0.00175,     -0.0948
        -0.6,      0.3561,     0.01108,     0.00175,     -0.0948
        -0.5,      0.3673,     0.01108,     0.00175,     -0.0948
        -0.4,      0.3784,     0.01108,     0.00175,     -0.0948
        -0.3,      0.3895,     0.01109,     0.00175,     -0.0948
        -0.2,      0.4006,     0.01111,     0.00176,     -0.0948
        -0.1,      0.4117,     0.01112,     0.00176,     -0.0948
           0,      0.4228,     0.01114,     0.00177,     -0.0948
         0.1,      0.4339,     0.01116,     0.00178,     -0.0948
         0.2,       0.445,     0.01118,      0.0018,     -0.0948
         0.3,       0.456,      0.0112,     0.00181,     -0.0947
         0.4,      0.4671,     0.01122,     0.00183,     -0.0947
         0.5,      0.4782,     0.01124,     0.00184,     -0.0947
         0.6,      0.4892,     0.01126,     0.00186,     -0.0947
         0.7,      0.5003,     0.01128,     0.00188,     -0.0947
         0.8,      0.5113,     0.01131,     0.00192,     -0.0947
         0.9,      0.5224,     0.01133,     0.00194,     -0.0947
           1,      0.5334,     0.01136,     0.00196,     -0.0947
         1.1,      0.5444,     0.01138,     0.00199,     -0.0946
         1.2,      0.5554,     0.01141,     0.00201,     -0.0946
         1.3,      0.5665,     0.01144,     0.00203,     -0.0946
         1.4,      0.5775,     0.01147,     0.00206,     -0.0946
         1.5,      0.5885,      0.0115,     0.00208,     -0.0946
         1.6,      0.5994,     0.01153,     0.00211,     -0.0946
         1.7,      0.6104,     0.01156,     0.00214,     -0.0945
         1.8,      0.6214,     0.01159,     0.00218,     -0.0945
         1.9,      0.6324,     0.01162,     0.00221,     -0.0945
