st2
Re        7e+05
M            0
N            1
VACC            0 VACCflag 1
XTR         0.05         0.05 XTRflag 1
alpha,cl,cd,cdp,cm
         -20,     -0.6676,     0.24493,     0.24022,      0.0499
       -19.9,      -0.664,     0.24366,     0.23895,      0.0491
       -19.8,     -0.6605,     0.24239,     0.23767,      0.0483
       -19.7,      -0.657,     0.24112,      0.2364,      0.0475
       -19.6,     -0.6534,     0.23984,     0.23511,      0.0467
       -19.5,     -0.6499,     0.23857,     0.23384,      0.0459
       -19.4,     -0.6464,     0.23729,     0.23255,      0.0451
       -19.3,     -0.6429,     0.23601,     0.23127,      0.0443
       -19.2,     -0.6394,     0.23473,     0.22998,      0.0435
       -19.1,     -0.6359,     0.23345,     0.22869,      0.0428
         -19,     -0.6324,     0.23216,      0.2274,       0.042
       -18.9,      -0.629,     0.23087,      0.2261,      0.0412
       -18.8,     -0.6255,     0.22958,     0.22481,      0.0404
       -18.7,      -0.622,     0.22829,     0.22351,      0.0397
       -18.6,     -0.6186,       0.227,     0.22221,      0.0389
       -18.5,     -0.6152,      0.2257,     0.22091,      0.0381
       -18.2,     -0.6101,     0.21863,     0.21382,      0.0352
       -18.1,     -0.6072,     0.21704,     0.21222,      0.0344
         -18,     -0.6044,     0.21548,     0.21065,      0.0336
       -17.9,     -0.6015,     0.21394,     0.20911,      0.0328
       -17.8,     -0.5986,     0.21238,     0.20755,       0.032
       -17.7,     -0.5957,     0.21085,     0.20601,      0.0312
       -17.6,     -0.5928,     0.20936,     0.20451,      0.0304
       -17.5,     -0.5898,     0.20791,     0.20306,      0.0296
       -17.4,     -0.5868,     0.20646,     0.20161,      0.0289
       -17.3,     -0.5838,     0.20501,     0.20015,      0.0281
       -17.2,     -0.5809,     0.20354,     0.19868,      0.0273
       -17.1,     -0.5779,     0.20207,      0.1972,      0.0266
         -17,     -0.5751,     0.20059,     0.19571,      0.0258
       -16.9,     -0.5723,      0.1991,     0.19422,      0.0251
       -16.8,     -0.5695,     0.19758,      0.1927,      0.0243
       -16.7,     -0.5668,     0.19607,     0.19118,      0.0236
       -16.6,     -0.5641,     0.19453,     0.18964,      0.0228
       -16.5,     -0.5615,     0.19299,     0.18809,      0.0221
       -16.4,      -0.559,     0.19142,     0.18652,      0.0213
       -16.3,     -0.5565,     0.18983,     0.18493,      0.0206
       -16.2,     -0.5541,     0.18823,     0.18332,      0.0198
       -16.1,     -0.5518,     0.18661,      0.1817,       0.019
         -16,     -0.5496,     0.18495,     0.18003,      0.0183
       -15.9,     -0.5476,     0.18327,     0.17835,      0.0175
       -15.8,     -0.5457,     0.18154,     0.17662,      0.0167
       -15.7,     -0.5439,     0.17978,     0.17485,       0.016
       -15.6,     -0.5424,     0.17795,     0.17302,      0.0152
       -15.5,     -0.5412,     0.17605,     0.17111,      0.0143
       -15.4,     -0.5403,     0.17405,     0.16912,      0.0135
       -15.3,       -0.54,     0.17189,     0.16695,      0.0126
       -15.2,     -0.5405,     0.16948,     0.16454,      0.0117
       -15.1,     -0.5427,     0.16654,      0.1616,      0.0105
         -15,     -0.5919,     0.15016,      0.1452,      0.0044
       -14.9,     -1.1075,     0.04384,     0.03799,     -0.0643
       -14.8,     -1.1225,     0.04043,     0.03445,     -0.0672
       -14.7,     -1.1327,     0.03881,     0.03276,      -0.067
       -14.6,     -1.1376,     0.03766,     0.03154,     -0.0665
       -14.5,      -1.138,     0.03663,     0.03044,     -0.0663
       -14.4,     -1.1366,     0.03571,     0.02946,     -0.0661
       -14.3,     -1.1342,     0.03488,     0.02856,     -0.0659
       -14.2,     -1.1308,     0.03411,     0.02773,     -0.0657
       -14.1,     -1.1267,      0.0334,     0.02696,     -0.0655
         -14,     -1.1219,     0.03273,     0.02623,     -0.0653
       -13.9,     -1.1166,      0.0321,     0.02555,     -0.0651
       -13.8,     -1.1109,     0.03151,     0.02489,     -0.0649
       -13.7,     -1.1047,     0.03094,     0.02427,     -0.0647
       -13.6,     -1.0981,     0.03041,     0.02368,     -0.0646
       -13.5,     -1.0913,     0.02989,     0.02311,     -0.0644
       -13.4,     -1.0841,      0.0294,     0.02256,     -0.0642
       -13.3,     -1.0767,     0.02892,     0.02203,     -0.0641
       -13.2,      -1.069,     0.02847,     0.02153,     -0.0639
       -13.1,     -1.0611,     0.02803,     0.02104,     -0.0638
         -13,      -1.053,     0.02761,     0.02057,     -0.0637
       -12.9,     -1.0447,     0.02721,     0.02011,     -0.0635
       -12.8,     -1.0363,     0.02681,     0.01967,     -0.0634
       -12.7,     -1.0276,     0.02643,     0.01924,     -0.0633
       -12.6,     -1.0189,     0.02606,     0.01882,     -0.0632
       -12.5,     -1.0099,     0.02571,     0.01842,     -0.0631
       -12.4,     -1.0009,     0.02536,     0.01802,      -0.063
       -12.3,     -0.9917,     0.02503,     0.01764,     -0.0629
