st3
Re        5e+05
M            0
N            1
VACC            0 VACCflag 1
XTR         0.05         0.05 XTRflag 1
alpha,cl,cd,cdp,cm
       -10.7,     -0.7245,     0.03357,     0.02726,     -0.0746
       -10.6,     -0.7192,     0.03164,     0.02515,     -0.0752
       -10.5,     -0.7122,     0.03031,     0.02368,     -0.0756
       -10.4,     -0.7044,     0.02926,      0.0225,     -0.0759
       -10.3,      -0.696,     0.02837,     0.02149,     -0.0761
       -10.2,     -0.6873,     0.02759,      0.0206,     -0.0763
       -10.1,     -0.6783,     0.02689,      0.0198,     -0.0765
         -10,      -0.669,     0.02625,     0.01907,     -0.0766
        -9.9,     -0.6595,     0.02566,     0.01839,     -0.0767
        -9.8,     -0.6498,     0.02512,     0.01776,     -0.0768
        -9.7,       -0.64,     0.02462,     0.01717,     -0.0769
        -9.6,     -0.6301,     0.02415,     0.01662,      -0.077
        -9.5,       -0.62,     0.02371,      0.0161,     -0.0771
        -9.4,     -0.6098,     0.02329,      0.0156,     -0.0771
        -9.3,     -0.5996,     0.02289,     0.01513,     -0.0772
        -9.2,     -0.5892,     0.02251,     0.01468,     -0.0773
        -9.1,     -0.5788,     0.02215,     0.01426,     -0.0773
          -9,     -0.5682,     0.02182,     0.01385,     -0.0774
        -8.9,     -0.5577,     0.02149,     0.01345,     -0.0774
        -8.8,      -0.547,     0.02118,     0.01308,     -0.0775
        -8.7,     -0.5363,     0.02089,     0.01272,     -0.0775
        -8.6,     -0.5256,      0.0206,     0.01237,     -0.0776
        -8.5,     -0.5148,     0.02033,     0.01204,     -0.0777
        -8.4,     -0.5039,     0.02007,     0.01172,     -0.0777
        -8.3,      -0.493,     0.01982,     0.01141,     -0.0778
        -8.2,     -0.4821,     0.01958,     0.01111,     -0.0778
        -8.1,     -0.4711,     0.01934,     0.01082,     -0.0779
          -8,     -0.4601,     0.01912,     0.01055,     -0.0779
        -7.9,     -0.4491,     0.01891,     0.01028,      -0.078
        -7.8,      -0.438,      0.0187,     0.01002,      -0.078
        -7.7,     -0.4269,      0.0185,     0.00977,     -0.0781
        -7.6,     -0.4158,     0.01831,     0.00953,     -0.0781
        -7.5,     -0.4046,     0.01812,     0.00929,     -0.0781
        -7.4,     -0.3935,     0.01794,     0.00907,     -0.0782
        -7.3,     -0.3823,     0.01777,     0.00885,     -0.0782
        -7.2,      -0.371,      0.0176,     0.00863,     -0.0783
        -7.1,     -0.3598,     0.01744,     0.00843,     -0.0783
          -7,     -0.3485,     0.01728,     0.00823,     -0.0784
        -6.9,     -0.3373,     0.01713,     0.00803,     -0.0784
        -6.8,      -0.326,     0.01698,     0.00785,     -0.0785
        -6.7,     -0.3147,     0.01684,     0.00766,     -0.0785
        -6.6,     -0.3033,     0.01671,     0.00749,     -0.0786
        -6.5,      -0.292,     0.01657,     0.00732,     -0.0786
        -6.4,     -0.2807,     0.01645,     0.00715,     -0.0787
        -6.3,     -0.2693,     0.01632,     0.00699,     -0.0787
        -6.2,     -0.2579,     0.01621,     0.00684,     -0.0788
        -6.1,     -0.2466,     0.01609,     0.00669,     -0.0788
          -6,     -0.2352,     0.01598,     0.00655,     -0.0789
        -5.9,     -0.2238,     0.01587,      0.0064,     -0.0789
        -5.8,     -0.2124,     0.01577,     0.00626,      -0.079
