st5
Re        4e+05
M            0
N            1
VACC            0 VACCflag 1
XTR         0.05         0.05 XTRflag 1
alpha,cl,cd,cdp,cm
         -20,     -0.6221,     0.24781,     0.24246,      0.0276
       -19.9,     -0.6187,     0.24648,     0.24112,      0.0269
       -19.8,     -0.6153,     0.24515,     0.23979,      0.0261
       -19.7,     -0.6119,     0.24382,     0.23845,      0.0253
       -19.6,     -0.6085,     0.24249,     0.23711,      0.0246
       -19.5,     -0.6051,     0.24116,     0.23577,      0.0238
       -19.4,     -0.6018,     0.23982,     0.23442,       0.023
       -19.3,     -0.5984,     0.23849,     0.23308,      0.0223
       -19.2,     -0.5951,     0.23715,     0.23174,      0.0215
       -19.1,     -0.5917,     0.23581,     0.23039,      0.0208
         -19,     -0.5884,     0.23447,     0.22904,      0.0201
       -18.9,     -0.5851,     0.23312,     0.22769,      0.0193
       -18.8,     -0.5818,     0.23177,     0.22634,      0.0186
       -18.7,     -0.5784,     0.23042,     0.22498,      0.0179
       -18.6,     -0.5751,     0.22907,     0.22362,      0.0171
       -18.5,     -0.5718,     0.22771,     0.22225,      0.0164
       -18.4,     -0.5685,     0.22634,     0.22088,      0.0157
       -18.3,     -0.5652,     0.22497,      0.2195,       0.015
       -18.2,     -0.5619,     0.22359,     0.21812,      0.0143
       -18.1,     -0.5587,     0.22222,     0.21674,      0.0135
         -18,     -0.5554,     0.22084,     0.21536,      0.0128
       -17.9,     -0.5522,     0.21946,     0.21397,      0.0121
       -17.8,     -0.5489,     0.21809,     0.21259,      0.0114
       -17.7,     -0.5457,     0.21671,      0.2112,      0.0107
       -17.6,     -0.5425,     0.21533,     0.20982,        0.01
       -17.5,     -0.5392,     0.21395,     0.20843,      0.0094
       -17.4,     -0.5361,     0.21256,     0.20704,      0.0087
       -17.3,     -0.5329,     0.21118,     0.20566,       0.008
       -17.2,     -0.5297,      0.2098,     0.20427,      0.0073
       -17.1,     -0.5266,     0.20842,     0.20288,      0.0066
         -17,     -0.5234,     0.20704,     0.20149,       0.006
       -16.9,     -0.5203,     0.20566,     0.20011,      0.0053
       -16.8,     -0.5172,     0.20429,     0.19873,      0.0047
       -16.7,     -0.5141,     0.20292,     0.19735,       0.004
       -16.6,      -0.511,     0.20155,     0.19598,      0.0033
       -16.5,     -0.5079,     0.20019,     0.19461,      0.0027
       -16.4,     -0.5048,     0.19883,     0.19325,      0.0021
       -16.3,     -0.5018,     0.19748,      0.1919,      0.0014
       -16.2,     -0.4987,     0.19613,     0.19055,      0.0008
       -16.1,     -0.4957,      0.1948,     0.18921,      0.0002
         -16,     -0.4927,     0.19347,     0.18787,     -0.0004
       -15.9,     -0.4897,     0.19214,     0.18654,     -0.0011
       -15.8,     -0.4867,     0.19083,     0.18522,     -0.0017
       -15.7,     -0.4837,     0.18952,     0.18391,     -0.0023
       -15.6,     -0.4807,     0.18821,      0.1826,     -0.0029
       -15.5,     -0.4777,     0.18691,     0.18129,     -0.0035
       -15.4,     -0.4747,     0.18561,     0.17998,     -0.0041
       -15.3,     -0.4716,     0.18431,     0.17868,     -0.0047
       -15.2,     -0.4686,     0.18301,     0.17737,     -0.0053
       -15.1,     -0.4656,     0.18172,     0.17607,     -0.0059
         -15,     -0.4626,     0.18042,     0.17478,     -0.0064
       -14.9,     -0.4596,     0.17914,     0.17348,      -0.007
       -14.8,     -0.4566,     0.17785,      0.1722,     -0.0076
