st7
Re        5e+05
M            0
N            1
VACC            0 VACCflag 1
XTR         0.05         0.05 XTRflag 1
alpha,cl,cd,cdp,cm
         -20,     -0.6616,     0.25335,     0.24844,      0.0337
       -19.9,     -0.6582,     0.25204,     0.24712,       0.033
       -19.8,     -0.6548,     0.25072,      0.2458,      0.0322
       -19.7,     -0.6514,     0.24941,     0.24448,      0.0314
       -19.6,     -0.6495,     0.24835,     0.24341,      0.0307
       -19.5,     -0.6461,     0.24701,     0.24207,      0.0299
       -19.4,     -0.6428,     0.24568,     0.24073,      0.0292
       -19.3,     -0.6394,     0.24436,      0.2394,      0.0284
       -19.2,     -0.6361,     0.24303,     0.23806,      0.0277
       -19.1,     -0.6328,      0.2417,     0.23673,      0.0269
         -19,     -0.6294,     0.24037,     0.23539,      0.0262
       -18.9,     -0.6261,     0.23904,     0.23405,      0.0255
       -18.8,     -0.6228,     0.23771,     0.23272,      0.0247
       -18.7,     -0.6195,     0.23638,     0.23138,       0.024
       -18.6,     -0.6162,     0.23504,     0.23004,      0.0233
       -18.5,     -0.6129,     0.23371,     0.22869,      0.0225
       -18.4,     -0.6096,     0.23236,     0.22735,      0.0218
       -18.3,     -0.6063,     0.23101,     0.22599,      0.0211
       -18.2,      -0.603,     0.22966,     0.22463,      0.0204
       -18.1,     -0.5997,      0.2283,     0.22326,      0.0197
         -18,     -0.5964,     0.22694,     0.22189,       0.019
       -17.9,     -0.5931,     0.22558,     0.22052,      0.0182
       -17.8,     -0.5899,     0.22421,     0.21915,      0.0175
       -17.7,     -0.5866,     0.22284,     0.21777,      0.0168
       -17.6,     -0.5834,     0.22147,      0.2164,      0.0162
       -17.5,     -0.5801,     0.22011,     0.21503,      0.0155
       -17.4,     -0.5769,     0.21873,     0.21365,      0.0148
       -17.3,     -0.5737,     0.21736,     0.21227,      0.0141
       -17.2,     -0.5705,     0.21598,     0.21088,      0.0134
       -17.1,     -0.5673,     0.21461,      0.2095,      0.0127
         -17,     -0.5641,     0.21323,     0.20812,      0.0121
       -16.9,      -0.561,     0.21185,     0.20673,      0.0114
       -16.8,     -0.5578,     0.21046,     0.20534,      0.0108
       -16.7,     -0.5547,     0.20908,     0.20395,      0.0101
       -16.6,     -0.5516,     0.20769,     0.20256,      0.0094
       -16.5,     -0.5485,     0.20631,     0.20117,      0.0088
       -16.4,     -0.5454,     0.20492,     0.19977,      0.0082
       -16.3,     -0.5424,     0.20353,     0.19838,      0.0075
       -16.2,     -0.5394,     0.20214,     0.19698,      0.0069
       -16.1,     -0.5363,     0.20075,     0.19558,      0.0063
         -16,     -0.5333,     0.19936,     0.19418,      0.0056
       -15.9,     -0.5304,     0.19796,     0.19279,       0.005
       -15.8,     -0.5274,     0.19657,     0.19139,      0.0044
       -15.7,     -0.5245,     0.19518,     0.18999,      0.0038
       -15.6,     -0.5216,     0.19378,     0.18859,      0.0032
       -15.5,     -0.5188,     0.19239,     0.18719,      0.0026
       -15.4,     -0.5159,     0.19099,     0.18579,       0.002
       -15.3,      -0.513,     0.18959,     0.18438,      0.0014
       -15.2,     -0.5102,     0.18818,     0.18296,      0.0008
       -15.1,     -0.5073,     0.18676,     0.18154,      0.0002
         -15,     -0.5045,     0.18533,     0.18011,     -0.0003
       -14.9,     -0.5017,     0.18391,     0.17868,     -0.0009
       -14.8,     -0.4989,     0.18249,     0.17725,     -0.0015
       -14.7,     -0.4961,     0.18106,     0.17582,     -0.0021
       -14.6,     -0.4934,     0.17963,     0.17439,     -0.0027
       -14.5,     -0.4907,     0.17821,     0.17296,     -0.0032
       -14.4,     -0.4879,     0.17678,     0.17153,     -0.0038
       -14.3,     -0.4853,     0.17535,     0.17009,     -0.0044
       -14.2,     -0.4826,     0.17392,     0.16866,     -0.0049
       -14.1,       -0.48,     0.17249,     0.16722,     -0.0055
         -14,     -0.4774,     0.17106,     0.16579,      -0.006
       -13.9,     -0.4748,     0.16963,     0.16436,     -0.0065
       -13.8,     -0.4723,     0.16821,     0.16293,     -0.0071
       -13.7,     -0.4697,     0.16679,     0.16151,     -0.0076
       -13.6,     -0.4672,     0.16537,     0.16009,     -0.0081
       -13.5,     -0.4647,     0.16396,     0.15867,     -0.0087
       -13.4,     -0.4622,     0.16254,     0.15725,     -0.0092
       -13.3,     -0.4597,     0.16112,     0.15583,     -0.0097
       -13.2,     -0.4572,      0.1597,      0.1544,     -0.0103
       -13.1,     -0.4546,     0.15829,     0.15299,     -0.0108
         -13,     -0.4521,     0.15688,     0.15158,     -0.0113
       -12.9,     -0.4496,     0.15548,     0.15018,     -0.0119
       -12.8,      -0.447,     0.15409,     0.14878,     -0.0124
