st7
Re        3e+05
M            0
N            1
VACC            0 VACCflag 1
XTR         0.05         0.05 XTRflag 1
alpha,cl,cd,cdp,cm
         -20,         nan,         nan,         nan,         nan
       -19.9,         nan,         nan,         nan,         nan
       -19.8,         nan,         nan,         nan,         nan
       -19.7,           0,         nan,         nan,           0
       -19.5,     -0.6455,     0.24724,     0.24163,      0.0298
       -19.4,     -0.6422,     0.24592,      0.2403,      0.0291
       -19.3,     -0.6388,     0.24461,     0.23898,      0.0283
       -19.2,     -0.6354,     0.24329,     0.23765,      0.0276
       -19.1,     -0.6321,     0.24198,     0.23633,      0.0268
         -19,     -0.6288,     0.24066,       0.235,      0.0261
       -18.9,     -0.6254,     0.23934,     0.23368,      0.0253
       -18.8,     -0.6221,     0.23802,     0.23236,      0.0246
       -18.7,     -0.6188,      0.2367,     0.23103,      0.0239
       -18.6,     -0.6155,     0.23538,      0.2297,      0.0231
       -18.5,     -0.6121,     0.23406,     0.22837,      0.0224
       -18.4,     -0.6088,     0.23273,     0.22704,      0.0217
       -18.3,     -0.6055,      0.2314,      0.2257,       0.021
       -18.2,     -0.6022,     0.23006,     0.22435,      0.0203
       -18.1,     -0.5989,     0.22872,       0.223,      0.0196
         -18,     -0.5956,     0.22738,     0.22165,      0.0188
       -17.9,     -0.5923,     0.22603,      0.2203,      0.0181
       -17.8,      -0.589,     0.22468,     0.21894,      0.0174
       -17.7,     -0.5857,     0.22333,     0.21758,      0.0167
       -17.6,     -0.5825,     0.22198,     0.21622,       0.016
       -17.5,     -0.5792,     0.22063,     0.21486,      0.0154
       -17.4,      -0.576,     0.21927,      0.2135,      0.0147
       -17.3,     -0.5727,     0.21792,     0.21214,       0.014
       -17.2,     -0.5695,     0.21656,     0.21077,      0.0133
       -17.1,     -0.5663,      0.2152,      0.2094,      0.0126
         -17,     -0.5631,     0.21384,     0.20804,       0.012
       -16.9,     -0.5599,     0.21248,     0.20667,      0.0113
       -16.8,     -0.5567,     0.21111,      0.2053,      0.0106
       -16.7,     -0.5536,     0.20975,     0.20393,        0.01
       -16.6,     -0.5504,     0.20838,     0.20255,      0.0093
       -16.5,     -0.5473,     0.20701,     0.20118,      0.0087
       -16.4,     -0.5442,     0.20565,      0.1998,      0.0081
       -16.3,     -0.5411,     0.20428,     0.19843,      0.0074
       -16.2,      -0.538,     0.20291,     0.19705,      0.0068
       -16.1,      -0.535,     0.20154,     0.19567,      0.0062
         -16,     -0.5319,     0.20016,     0.19429,      0.0055
       -15.9,     -0.5289,     0.19879,     0.19292,      0.0049
       -15.8,     -0.5259,     0.19742,     0.19154,      0.0043
       -15.7,     -0.5229,     0.19605,     0.19016,      0.0037
       -15.6,       -0.52,     0.19467,     0.18878,      0.0031
       -15.5,     -0.5171,      0.1933,      0.1874,      0.0025
       -15.4,     -0.5141,     0.19193,     0.18603,      0.0019
       -15.3,     -0.5112,     0.19055,     0.18464,      0.0013
       -15.2,     -0.5083,     0.18917,     0.18326,      0.0007
       -15.1,     -0.5055,     0.18779,     0.18187,      0.0001
         -15,     -0.5026,     0.18639,     0.18047,     -0.0004
       -14.9,     -0.4997,       0.185,     0.17907,      -0.001
       -14.8,     -0.4968,     0.18361,     0.17767,     -0.0016
       -14.7,      -0.494,     0.18221,     0.17626,     -0.0022
       -14.6,     -0.4912,     0.18081,     0.17486,     -0.0028
       -14.5,     -0.4884,     0.17942,     0.17346,     -0.0033
       -14.4,     -0.4856,     0.17802,     0.17206,     -0.0039
       -14.3,     -0.4829,     0.17662,     0.17065,     -0.0044
       -14.2,     -0.4801,     0.17522,     0.16925,      -0.005
       -14.1,     -0.4774,     0.17382,     0.16784,     -0.0056
         -14,     -0.4747,     0.17242,     0.16644,     -0.0061
       -13.9,     -0.4721,     0.17102,     0.16504,     -0.0066
       -13.8,     -0.4694,     0.16963,     0.16364,     -0.0072
       -13.7,     -0.4668,     0.16823,     0.16224,     -0.0077
       -13.6,     -0.4642,     0.16684,     0.16084,     -0.0082
       -13.5,     -0.4616,     0.16545,     0.15945,     -0.0088
       -13.4,     -0.4591,     0.16406,     0.15806,     -0.0093
       -13.3,     -0.4565,     0.16267,     0.15666,     -0.0098
       -13.2,     -0.4539,     0.16128,     0.15527,     -0.0103
       -13.1,     -0.4513,     0.15988,     0.15387,     -0.0109
         -13,     -0.4487,     0.15849,     0.15247,     -0.0114
       -12.9,     -0.4462,     0.15709,     0.15107,     -0.0119
       -12.8,     -0.4436,     0.15571,     0.14968,     -0.0124
       -12.7,      -0.441,     0.15433,      0.1483,      -0.013
       -12.6,     -0.4385,     0.15295,     0.14692,     -0.0135
       -12.5,     -0.4359,     0.15158,     0.14555,      -0.014
       -12.4,     -0.4334,     0.15022,     0.14419,     -0.0145
       -12.3,     -0.4309,     0.14887,     0.14283,      -0.015
       -12.2,     -0.4283,     0.14752,     0.14148,     -0.0155
       -12.1,     -0.4258,     0.14619,     0.14014,      -0.016
         -12,     -0.4233,     0.14486,     0.13881,     -0.0165
       -11.9,     -0.4207,     0.14354,     0.13749,      -0.017
       -11.8,     -0.4181,     0.14222,     0.13616,     -0.0175
       -11.7,     -0.4155,      0.1409,     0.13484,      -0.018
       -11.6,     -0.4129,     0.13958,     0.13353,     -0.0185
       -11.5,     -0.4103,     0.13827,     0.13222,      -0.019
       -11.4,     -0.4076,     0.13697,     0.13091,     -0.0195
       -11.3,      -0.405,     0.13568,     0.12962,       -0.02
       -11.2,     -0.4024,     0.13439,     0.12833,     -0.0206
