st5
Re        6e+05
M            0
N            1
VACC            0 VACCflag 1
XTR         0.05         0.05 XTRflag 1
alpha,cl,cd,cdp,cm
         -20,     -0.6228,     0.24724,     0.24238,      0.0277
       -19.9,     -0.6194,     0.24589,     0.24103,      0.0269
       -19.8,     -0.6161,     0.24455,     0.23968,      0.0262
       -19.7,     -0.6127,      0.2432,     0.23832,      0.0254
       -19.6,     -0.6094,     0.24185,     0.23696,      0.0246
       -19.5,      -0.606,      0.2405,     0.23561,      0.0239
       -19.4,     -0.6027,     0.23914,     0.23424,      0.0231
       -19.3,     -0.5994,     0.23779,     0.23288,      0.0224
       -19.2,     -0.5961,     0.23643,     0.23152,      0.0216
       -19.1,     -0.5928,     0.23507,     0.23015,      0.0209
         -19,     -0.5895,      0.2337,     0.22878,      0.0202
       -18.9,     -0.5862,     0.23234,     0.22741,      0.0194
       -18.8,     -0.5829,     0.23097,     0.22603,      0.0187
       -18.7,     -0.5796,     0.22959,     0.22465,       0.018
       -18.6,     -0.5763,      0.2282,     0.22326,      0.0172
       -18.5,     -0.5731,     0.22682,     0.22186,      0.0165
       -18.4,     -0.5698,     0.22542,     0.22046,      0.0158
       -18.3,     -0.5665,     0.22402,     0.21905,      0.0151
       -18.2,     -0.5633,     0.22262,     0.21765,      0.0143
       -18.1,     -0.5601,     0.22122,     0.21625,      0.0136
         -18,     -0.5569,     0.21982,     0.21484,      0.0129
       -17.9,     -0.5537,     0.21842,     0.21343,      0.0122
       -17.8,     -0.5504,     0.21701,     0.21202,      0.0115
       -17.7,     -0.5473,     0.21561,     0.21061,      0.0108
       -17.6,     -0.5441,      0.2142,      0.2092,      0.0101
       -17.5,     -0.5409,      0.2128,     0.20779,      0.0094
       -17.4,     -0.5378,      0.2114,     0.20638,      0.0087
       -17.3,     -0.5347,     0.20999,     0.20498,      0.0081
       -17.2,     -0.5316,      0.2086,     0.20358,      0.0074
       -17.1,     -0.5284,      0.2072,     0.20218,      0.0067
         -17,     -0.5254,     0.20582,     0.20078,       0.006
       -16.9,     -0.5223,     0.20443,      0.1994,      0.0054
       -16.8,     -0.5192,     0.20306,     0.19801,      0.0047
       -16.7,     -0.5161,     0.20169,     0.19664,      0.0041
       -16.6,      -0.513,     0.20033,     0.19527,      0.0034
       -16.5,       -0.51,     0.19898,     0.19392,      0.0028
       -16.4,     -0.5069,     0.19764,     0.19257,      0.0021
       -16.3,     -0.5039,      0.1963,     0.19123,      0.0015
       -16.2,     -0.5008,     0.19498,      0.1899,      0.0009
       -16.1,     -0.4978,     0.19366,     0.18858,      0.0002
         -16,     -0.4948,     0.19236,     0.18727,     -0.0004
       -15.9,     -0.4918,     0.19106,     0.18597,      -0.001
       -15.8,     -0.4888,     0.18976,     0.18467,     -0.0016
       -15.7,     -0.4858,     0.18847,     0.18338,     -0.0022
       -15.6,     -0.4827,     0.18718,     0.18208,     -0.0028
       -15.5,     -0.4797,      0.1859,     0.18079,     -0.0034
       -15.4,     -0.4767,     0.18461,     0.17949,      -0.004
       -15.3,     -0.4736,     0.18332,      0.1782,     -0.0046
       -15.2,     -0.4706,     0.18204,     0.17691,     -0.0052
       -15.1,     -0.4676,     0.18075,     0.17562,     -0.0058
         -15,     -0.4646,     0.17947,     0.17434,     -0.0064
       -14.9,     -0.4616,      0.1782,     0.17306,      -0.007
       -14.8,     -0.4586,     0.17692,     0.17178,     -0.0076
       -14.7,     -0.4556,     0.17565,      0.1705,     -0.0081
       -14.6,     -0.4526,     0.17437,     0.16922,     -0.0087
       -14.5,     -0.4496,      0.1731,     0.16795,     -0.0093
       -14.4,     -0.4467,     0.17184,     0.16668,     -0.0098
       -14.3,     -0.4437,     0.17057,     0.16541,     -0.0104
       -14.2,     -0.4408,      0.1693,     0.16414,     -0.0109
       -14.1,     -0.4379,     0.16804,     0.16287,     -0.0115
         -14,      -0.435,     0.16678,      0.1616,      -0.012
       -13.9,     -0.4321,     0.16552,     0.16034,     -0.0126
       -13.8,     -0.4293,     0.16426,     0.15908,     -0.0131
       -13.7,     -0.4264,     0.16301,     0.15782,     -0.0137
       -13.6,     -0.4236,     0.16175,     0.15656,     -0.0142
       -13.5,     -0.4208,      0.1605,      0.1553,     -0.0147
       -13.4,     -0.4179,     0.15924,     0.15404,     -0.0152
       -13.3,      -0.415,     0.15797,     0.15277,     -0.0158
       -13.2,     -0.4122,     0.15671,      0.1515,     -0.0163
       -13.1,     -0.4093,     0.15544,     0.15023,     -0.0168
         -13,     -0.4064,     0.15418,     0.14896,     -0.0174
       -12.9,     -0.4036,     0.15291,     0.14769,     -0.0179
       -12.8,     -0.4007,     0.15165,     0.14643,     -0.0184
       -12.7,     -0.3979,     0.15039,     0.14516,     -0.0189
       -12.6,     -0.3951,     0.14913,      0.1439,     -0.0195
       -12.5,     -0.3923,     0.14787,     0.14264,       -0.02
       -12.4,     -0.3895,     0.14661,     0.14138,     -0.0205
       -12.3,     -0.3867,     0.14536,     0.14012,      -0.021
       -12.2,      -0.384,     0.14411,     0.13886,     -0.0215
       -12.1,     -0.3812,     0.14286,     0.13761,      -0.022
         -12,     -0.3785,     0.14162,     0.13636,     -0.0225
