st4
Re        9e+05
M            0
N            1
VACC            0 VACCflag 1
XTR         0.05         0.05 XTRflag 1
alpha,cl,cd,cdp,cm
         -20,     -0.6269,     0.24364,     0.23917,      0.0332
       -19.9,     -0.6236,     0.24226,     0.23779,      0.0324
       -19.8,     -0.6203,     0.24089,     0.23641,      0.0316
       -19.7,      -0.617,     0.23953,     0.23504,      0.0308
       -19.6,     -0.6136,     0.23817,     0.23368,      0.0301
       -19.5,     -0.6103,     0.23682,     0.23233,      0.0293
       -19.4,      -0.607,     0.23549,     0.23098,      0.0285
       -19.3,     -0.6037,     0.23415,     0.22965,      0.0278
       -19.2,     -0.6004,     0.23283,     0.22832,       0.027
       -19.1,     -0.5971,     0.23152,     0.22701,      0.0263
         -19,     -0.5937,     0.23022,      0.2257,      0.0256
       -18.9,     -0.5904,     0.22892,     0.22439,      0.0248
       -18.8,     -0.5871,     0.22763,      0.2231,      0.0241
       -18.7,     -0.5837,     0.22634,      0.2218,      0.0233
       -18.6,     -0.5804,     0.22506,     0.22051,      0.0226
       -18.5,      -0.577,     0.22377,     0.21921,      0.0219
       -18.4,     -0.5736,     0.22248,     0.21792,      0.0212
       -18.3,     -0.5703,     0.22119,     0.21663,      0.0204
       -18.2,     -0.5669,     0.21991,     0.21535,      0.0197
       -18.1,     -0.5636,     0.21864,     0.21406,       0.019
         -18,     -0.5602,     0.21736,     0.21278,      0.0183
       -17.9,     -0.5568,     0.21609,     0.21151,      0.0176
       -17.8,     -0.5535,     0.21482,     0.21023,      0.0169
       -17.7,     -0.5501,     0.21355,     0.20896,      0.0162
       -17.6,     -0.5468,     0.21228,     0.20768,      0.0155
       -17.5,     -0.5435,     0.21102,     0.20641,      0.0148
       -17.4,     -0.5401,     0.20975,     0.20515,      0.0141
       -17.3,     -0.5368,     0.20849,     0.20388,      0.0134
       -17.2,     -0.5335,     0.20723,     0.20261,      0.0128
       -17.1,     -0.5302,     0.20596,     0.20134,      0.0121
         -17,     -0.5269,      0.2047,     0.20007,      0.0114
       -16.9,     -0.5236,     0.20344,      0.1988,      0.0108
       -16.8,     -0.5203,     0.20217,     0.19753,      0.0101
       -16.7,     -0.5171,     0.20091,     0.19626,      0.0094
       -16.6,     -0.5138,     0.19964,     0.19499,      0.0088
       -16.5,     -0.5106,     0.19838,     0.19372,      0.0081
       -16.4,     -0.5074,     0.19712,     0.19246,      0.0075
       -16.3,     -0.5041,     0.19586,     0.19119,      0.0069
       -16.2,     -0.5009,      0.1946,     0.18993,      0.0062
       -16.1,     -0.4978,     0.19334,     0.18866,      0.0056
         -16,     -0.4946,     0.19208,      0.1874,       0.005
       -15.9,     -0.4915,     0.19082,     0.18614,      0.0044
       -15.8,     -0.4883,     0.18956,     0.18487,      0.0038
       -15.7,     -0.4852,     0.18831,     0.18362,      0.0031
       -15.6,     -0.4821,     0.18705,     0.18235,      0.0025
       -15.5,     -0.4791,      0.1858,     0.18109,      0.0019
       -15.4,      -0.476,     0.18454,     0.17983,      0.0013
       -15.3,     -0.4729,     0.18328,     0.17856,      0.0007
       -15.2,     -0.4698,     0.18201,     0.17729,      0.0001
       -15.1,     -0.4667,     0.18074,     0.17601,     -0.0004
         -15,     -0.4637,     0.17946,     0.17473,      -0.001
       -14.9,     -0.4606,     0.17819,     0.17345,     -0.0016
       -14.8,     -0.4575,     0.17691,     0.17217,     -0.0022
       -14.7,     -0.4545,     0.17563,     0.17089,     -0.0028
       -14.6,     -0.4515,     0.17436,     0.16961,     -0.0034
       -14.5,     -0.4485,     0.17308,     0.16832,      -0.004
       -14.4,     -0.4455,      0.1718,     0.16704,     -0.0045
       -14.3,     -0.4426,     0.17052,     0.16576,     -0.0051
       -14.2,     -0.4396,     0.16924,     0.16447,     -0.0057
       -14.1,     -0.4367,     0.16796,     0.16319,     -0.0062
         -14,     -0.4338,     0.16668,      0.1619,     -0.0068
       -13.9,     -0.4309,      0.1654,     0.16062,     -0.0073
       -13.8,      -0.428,     0.16412,     0.15933,     -0.0079
       -13.7,     -0.4252,     0.16284,     0.15805,     -0.0084
       -13.6,     -0.4224,     0.16156,     0.15677,     -0.0089
       -13.5,     -0.4196,     0.16029,     0.15549,     -0.0095
