st5
Re        7e+05
M            0
N            1
VACC            0 VACCflag 1
XTR         0.05         0.05 XTRflag 1
alpha,cl,cd,cdp,cm
         -20,     -0.6231,     0.24699,      0.2423,      0.0277
       -19.9,     -0.6197,     0.24564,     0.24094,       0.027
       -19.8,     -0.6164,     0.24428,     0.23958,      0.0262
       -19.7,      -0.613,     0.24292,     0.23822,      0.0254
       -19.6,     -0.6097,     0.24156,     0.23685,      0.0247
       -19.5,     -0.6064,     0.24021,     0.23548,      0.0239
       -19.4,     -0.6031,     0.23884,     0.23411,      0.0232
       -19.3,     -0.5998,     0.23748,     0.23274,      0.0224
       -19.2,     -0.5965,     0.23611,     0.23137,      0.0217
       -19.1,     -0.5932,     0.23474,     0.22999,      0.0209
         -19,     -0.5899,     0.23337,     0.22861,      0.0202
       -18.9,     -0.5866,     0.23199,     0.22723,      0.0194
       -18.8,     -0.5834,     0.23061,     0.22584,      0.0187
       -18.7,     -0.5801,     0.22922,     0.22445,       0.018
       -18.6,     -0.5768,     0.22782,     0.22304,      0.0172
       -18.5,     -0.5736,     0.22642,     0.22164,      0.0165
       -18.4,     -0.5703,     0.22501,     0.22022,      0.0158
       -18.3,     -0.5671,      0.2236,      0.2188,      0.0151
       -18.2,     -0.5639,     0.22219,     0.21739,      0.0144
       -18.1,     -0.5606,     0.22078,     0.21598,      0.0136
         -18,     -0.5575,     0.21937,     0.21456,      0.0129
       -17.9,     -0.5543,     0.21795,     0.21314,      0.0122
       -17.8,     -0.5511,     0.21654,     0.21172,      0.0115
       -17.7,     -0.5479,     0.21512,      0.2103,      0.0108
       -17.6,     -0.5448,     0.21371,     0.20888,      0.0101
       -17.5,     -0.5417,      0.2123,     0.20746,      0.0094
       -17.4,     -0.5385,     0.21089,     0.20605,      0.0088
       -17.3,     -0.5354,     0.20949,     0.20464,      0.0081
       -17.2,     -0.5323,     0.20809,     0.20324,      0.0074
       -17.1,     -0.5292,      0.2067,     0.20184,      0.0067
         -17,     -0.5261,     0.20531,     0.20045,      0.0061
       -16.9,      -0.523,     0.20394,     0.19907,      0.0054
       -16.8,       -0.52,     0.20257,      0.1977,      0.0047
