st10
Re        1e+05
M            0
N            1
VACC            0 VACCflag 1
XTR         0.05         0.05 XTRflag 1
alpha,cl,cd,cdp,cm
         -20,     -0.7348,     0.25918,     0.25142,      0.0561
       -19.9,     -0.7314,     0.25786,     0.25009,      0.0553
       -19.8,      -0.728,     0.25653,     0.24876,      0.0545
       -19.7,     -0.7246,      0.2552,     0.24742,      0.0537
       -19.6,     -0.7212,     0.25386,     0.24608,      0.0529
       -19.5,     -0.7178,     0.25253,     0.24474,      0.0521
       -19.4,     -0.7143,      0.2512,     0.24339,      0.0513
       -19.3,     -0.7109,     0.24986,     0.24205,      0.0505
       -19.2,     -0.7076,     0.24851,      0.2407,      0.0498
       -19.1,     -0.7042,     0.24717,     0.23935,       0.049
         -19,     -0.7008,     0.24582,       0.238,      0.0482
       -18.9,     -0.6974,     0.24447,     0.23664,      0.0474
       -18.8,      -0.694,     0.24313,     0.23529,      0.0467
       -18.7,     -0.6907,     0.24177,     0.23393,      0.0459
       -18.6,     -0.6873,     0.24042,     0.23257,      0.0452
       -18.5,      -0.684,     0.23906,     0.23121,      0.0444
       -18.4,     -0.6806,     0.23771,     0.22985,      0.0437
       -18.3,     -0.6773,     0.23635,     0.22848,      0.0429
       -18.2,      -0.674,     0.23499,     0.22711,      0.0422
       -18.1,     -0.6707,     0.23363,     0.22575,      0.0414
         -18,     -0.6674,     0.23226,     0.22437,      0.0407
       -17.9,     -0.6641,      0.2309,     0.22301,        0.04
       -17.8,     -0.6608,     0.22953,     0.22162,      0.0392
       -17.7,     -0.6576,     0.22816,     0.22025,      0.0385
       -17.6,     -0.6543,      0.2268,     0.21888,      0.0378
       -17.5,     -0.6511,     0.22542,     0.21749,      0.0371
       -17.4,     -0.6478,     0.22405,     0.21612,      0.0364
       -17.3,     -0.6446,     0.22267,     0.21473,      0.0356
       -17.2,     -0.6414,     0.22129,     0.21335,      0.0349
       -17.1,     -0.6382,     0.21991,     0.21196,      0.0342
         -17,      -0.635,     0.21852,     0.21057,      0.0335
       -16.9,     -0.6318,     0.21713,     0.20917,      0.0328
       -16.8,     -0.6287,     0.21573,     0.20777,      0.0321
       -16.7,     -0.6255,     0.21433,     0.20637,      0.0314
       -16.6,     -0.6223,     0.21293,     0.20495,      0.0307
       -16.5,     -0.6192,     0.21153,     0.20354,      0.0301
       -16.4,     -0.6161,     0.21012,     0.20212,      0.0294
       -16.3,      -0.613,     0.20872,     0.20071,      0.0287
       -16.2,     -0.6099,     0.20731,     0.19929,       0.028
       -16.1,     -0.6068,      0.2059,     0.19788,      0.0273
         -16,     -0.6038,     0.20449,     0.19646,      0.0267
       -15.9,     -0.6008,     0.20308,     0.19505,       0.026
       -15.8,     -0.5978,     0.20167,     0.19363,      0.0254
       -15.7,     -0.5948,     0.20026,     0.19221,      0.0247
       -15.6,     -0.5918,     0.19884,     0.19079,      0.0241
       -15.5,     -0.5889,     0.19743,     0.18937,      0.0234
       -15.4,      -0.586,     0.19602,     0.18796,      0.0228
       -15.3,     -0.5831,      0.1946,     0.18654,      0.0221
       -15.2,     -0.5802,     0.19319,     0.18512,      0.0215
       -15.1,     -0.5774,     0.19177,      0.1837,      0.0209
         -15,     -0.5745,     0.19036,     0.18228,      0.0203
       -14.9,     -0.5717,     0.18894,     0.18086,      0.0196
       -14.8,      -0.569,     0.18753,     0.17945,       0.019
       -14.7,     -0.5662,     0.18612,     0.17803,      0.0184
       -14.6,     -0.5635,     0.18471,     0.17661,      0.0178
       -14.5,     -0.5608,      0.1833,      0.1752,      0.0172
       -14.4,     -0.5581,      0.1819,     0.17379,      0.0166
       -14.3,     -0.5554,     0.18049,     0.17238,       0.016
       -14.2,     -0.5528,     0.17908,     0.17097,      0.0154
       -14.1,     -0.5502,     0.17767,     0.16955,      0.0148
         -14,     -0.5475,     0.17625,     0.16814,      0.0143
       -13.9,     -0.5449,     0.17484,     0.16672,      0.0137
       -13.8,     -0.5423,     0.17343,     0.16531,      0.0131
       -13.7,     -0.5398,     0.17202,      0.1639,      0.0125
       -13.6,     -0.5372,     0.17061,     0.16248,      0.0119
       -13.5,     -0.5347,      0.1692,     0.16107,      0.0114
       -13.4,     -0.5322,     0.16779,     0.15967,      0.0108
       -13.3,     -0.5297,     0.16639,     0.15826,      0.0102
       -13.2,     -0.5272,     0.16499,     0.15685,      0.0097
       -13.1,     -0.5248,     0.16358,     0.15545,      0.0091
         -13,     -0.5223,     0.16218,     0.15405,      0.0086
       -12.9,     -0.5199,     0.16078,     0.15265,       0.008
       -12.8,     -0.5176,     0.15938,     0.15124,      0.0075
       -12.7,     -0.5152,     0.15798,     0.14984,      0.0069
       -12.6,     -0.5129,     0.15658,     0.14843,      0.0064
       -12.5,     -0.5138,     0.15347,     0.14537,      0.0055
       -12.4,     -0.5122,     0.15175,     0.14365,      0.0048
       -12.3,     -0.5095,     0.15055,     0.14245,      0.0043
       -12.2,     -0.5069,      0.1493,     0.14121,      0.0037
       -12.1,     -0.5045,       0.148,     0.13991,      0.0032
         -12,     -0.5022,     0.14664,     0.13855,      0.0026
       -11.9,        -0.5,     0.14523,     0.13713,      0.0021
       -11.8,      -0.498,     0.14378,     0.13568,      0.0015
       -11.7,     -0.4959,     0.14233,     0.13423,       0.001
       -11.6,     -0.4939,     0.14089,     0.13279,      0.0004
       -11.5,     -0.4919,     0.13945,     0.13135,     -0.0001
       -11.4,     -0.4899,       0.138,      0.1299,     -0.0007
       -11.3,     -0.4879,     0.13656,     0.12846,     -0.0012
       -11.2,      -0.486,     0.13512,     0.12702,     -0.0017
       -11.1,      -0.484,     0.13369,     0.12559,     -0.0023
         -11,     -0.4821,     0.13224,     0.12414,     -0.0028
       -10.9,     -0.4801,      0.1308,      0.1227,     -0.0034
       -10.8,     -0.4782,     0.12935,     0.12125,      -0.004
       -10.7,     -0.4763,     0.12791,     0.11981,     -0.0045
       -10.6,     -0.4745,     0.12646,     0.11837,     -0.0051
       -10.5,     -0.4727,     0.12502,     0.11693,     -0.0056
       -10.4,     -0.4708,     0.12358,     0.11549,     -0.0062
       -10.3,     -0.4691,     0.12214,     0.11405,     -0.0068
       -10.2,     -0.4673,     0.12069,     0.11261,     -0.0073
       -10.1,     -0.4655,     0.11924,     0.11116,     -0.0079
         -10,     -0.4638,     0.11779,     0.10971,     -0.0085
        -9.9,      -0.462,     0.11634,     0.10826,     -0.0091
        -9.8,     -0.4603,     0.11489,     0.10681,     -0.0097
        -9.7,     -0.4586,     0.11343,     0.10535,     -0.0103
        -9.6,      -0.457,     0.11197,      0.1039,     -0.0109
        -9.5,     -0.4554,     0.11051,     0.10244,     -0.0116
        -9.4,     -0.4539,     0.10905,     0.10098,     -0.0122
        -9.3,     -0.4523,     0.10757,     0.09951,     -0.0129
        -9.2,     -0.4507,     0.10609,     0.09804,     -0.0135
        -9.1,     -0.4492,     0.10461,     0.09656,     -0.0142
          -9,     -0.4478,     0.10312,     0.09508,     -0.0149
        -8.9,     -0.4464,     0.10164,      0.0936,     -0.0156
