st6
Re        2e+05
M            0
N            1
VACC            0 VACCflag 1
XTR         0.05         0.05 XTRflag 1
alpha,cl,cd,cdp,cm
         -20,     -0.6333,      0.2507,     0.24434,      0.0274
       -19.9,     -0.6299,     0.24941,     0.24304,      0.0267
       -19.8,     -0.6265,     0.24811,     0.24173,      0.0259
       -19.7,     -0.6231,     0.24682,     0.24043,      0.0252
       -19.6,     -0.6197,     0.24552,     0.23912,      0.0244
       -19.5,     -0.6163,     0.24423,     0.23781,      0.0236
       -19.4,     -0.6129,     0.24293,      0.2365,      0.0229
       -19.3,     -0.6095,     0.24163,      0.2352,      0.0221
       -19.2,     -0.6062,     0.24033,     0.23389,      0.0214
       -19.1,     -0.6028,     0.23903,     0.23258,      0.0207
         -19,     -0.5994,     0.23772,     0.23127,      0.0199
       -18.9,     -0.5961,     0.23642,     0.22996,      0.0192
       -18.8,     -0.5927,     0.23511,     0.22864,      0.0185
       -18.7,     -0.5894,     0.23381,     0.22733,      0.0178
       -18.6,     -0.5861,     0.23249,     0.22601,       0.017
       -18.5,     -0.5827,     0.23118,     0.22469,      0.0163
       -18.4,     -0.5794,     0.22987,     0.22337,      0.0156
       -18.3,     -0.5761,     0.22854,     0.22203,      0.0149
       -18.2,     -0.5727,     0.22721,      0.2207,      0.0142
       -18.1,     -0.5694,     0.22588,     0.21936,      0.0135
         -18,     -0.5661,     0.22455,     0.21802,      0.0128
       -17.9,     -0.5628,     0.22322,     0.21668,      0.0121
       -17.8,     -0.5595,     0.22188,     0.21534,      0.0114
       -17.7,     -0.5562,     0.22054,     0.21399,      0.0107
       -17.6,     -0.5529,      0.2192,     0.21264,        0.01
       -17.5,     -0.5496,     0.21787,      0.2113,      0.0093
       -17.4,     -0.5464,     0.21652,     0.20994,      0.0086
       -17.3,     -0.5431,     0.21518,      0.2086,       0.008
       -17.2,     -0.5399,     0.21384,     0.20725,      0.0073
       -17.1,     -0.5367,     0.21249,     0.20589,      0.0066
         -17,     -0.5335,     0.21114,     0.20454,       0.006
       -16.9,     -0.5303,      0.2098,     0.20319,      0.0053
       -16.8,     -0.5271,     0.20845,     0.20183,      0.0047
