st1
Re        6e+05
M            0
N            1
VACC            0 VACCflag 1
XTR         0.05         0.05 XTRflag 1
alpha,cl,cd,cdp,cm
         -20,     -1.1067,     0.13323,     0.12639,      0.0038
       -19.9,     -1.1064,     0.13183,     0.12497,      0.0032
       -19.8,     -1.1062,     0.13041,     0.12354,      0.0025
       -19.7,      -1.106,     0.12898,     0.12208,      0.0018
       -19.6,     -1.1061,     0.12749,     0.12058,      0.0011
       -19.5,      -1.107,      0.1259,     0.11896,      0.0003
       -19.4,     -1.1091,     0.12408,     0.11713,     -0.0005
       -19.3,     -1.1254,     0.12004,     0.11301,     -0.0025
       -19.2,       -1.14,     0.11628,     0.10919,     -0.0044
       -19.1,     -1.1459,     0.11393,      0.1068,     -0.0054
         -19,     -1.1499,      0.1119,     0.10473,     -0.0063
       -18.9,     -1.1536,     0.10993,     0.10274,     -0.0072
       -18.8,     -1.1578,     0.10789,     0.10066,     -0.0081
       -18.7,     -1.1659,     0.10525,     0.09798,     -0.0092
       -18.6,     -1.1697,      0.1033,     0.09599,       -0.01
       -18.5,     -1.1716,     0.10165,     0.09431,     -0.0107
       -18.4,     -1.1734,     0.10003,     0.09267,     -0.0113
       -18.3,     -1.1752,     0.09839,     0.09101,      -0.012
       -18.2,     -1.1768,      0.0968,     0.08939,     -0.0126
       -18.1,     -1.1784,     0.09519,     0.08776,     -0.0132
         -18,     -1.1806,      0.0935,     0.08604,     -0.0139
       -17.9,     -1.1857,     0.09138,     0.08388,     -0.0147
       -17.8,     -1.1947,     0.08868,     0.08113,     -0.0158
       -17.7,     -1.1971,     0.08699,     0.07941,     -0.0165
       -17.6,     -1.1987,     0.08541,      0.0778,      -0.017
       -17.5,     -1.2003,     0.08386,     0.07622,     -0.0176
       -17.4,     -1.2019,     0.08232,     0.07465,     -0.0181
       -17.3,      -1.204,      0.0807,     0.07299,     -0.0187
       -17.2,     -1.2088,      0.0787,     0.07095,     -0.0194
       -17.1,     -1.2162,     0.07637,     0.06857,     -0.0203
         -17,      -1.218,     0.07481,     0.06698,     -0.0209
       -16.9,     -1.2193,     0.07333,     0.06546,     -0.0214
       -16.8,     -1.2207,     0.07184,     0.06394,     -0.0219
       -16.7,     -1.2225,     0.07029,     0.06236,     -0.0224
       -16.6,     -1.2267,     0.06839,     0.06042,     -0.0231
       -16.5,     -1.2312,     0.06648,     0.05846,     -0.0238
       -16.4,     -1.2321,     0.06508,     0.05703,     -0.0242
       -16.3,     -1.2329,     0.06371,     0.05563,     -0.0246
       -16.2,     -1.2338,     0.06233,     0.05422,      -0.025
       -16.1,     -1.2357,     0.06083,     0.05268,     -0.0255
         -16,     -1.2401,       0.059,      0.0508,     -0.0261
       -15.9,     -1.2411,     0.05766,     0.04943,     -0.0265
       -15.8,     -1.2415,     0.05641,     0.04815,     -0.0268
       -15.7,     -1.2419,     0.05517,     0.04688,     -0.0271
       -15.6,     -1.2428,     0.05384,     0.04552,     -0.0274
       -15.5,     -1.2452,      0.0523,     0.04393,     -0.0279
       -15.4,     -1.2451,      0.0511,      0.0427,     -0.0282
       -15.3,     -1.2445,     0.04999,     0.04155,     -0.0284
       -15.2,     -1.2439,     0.04885,     0.04038,     -0.0287
       -15.1,     -1.2442,      0.0476,     0.03909,      -0.029
         -15,     -1.2445,     0.04635,      0.0378,     -0.0294
       -14.9,      -1.243,     0.04534,     0.03677,     -0.0295
       -14.8,     -1.2415,     0.04434,     0.03573,     -0.0297
       -14.7,     -1.2403,      0.0433,     0.03466,     -0.0299
       -14.6,     -1.2397,     0.04218,      0.0335,     -0.0302
       -14.5,     -1.2377,     0.04123,     0.03252,     -0.0304
       -14.4,     -1.2351,     0.04035,     0.03161,     -0.0305
       -14.3,     -1.2327,     0.03945,     0.03068,     -0.0307
       -14.2,     -1.2307,     0.03849,     0.02968,     -0.0309
       -14.1,      -1.228,     0.03761,     0.02877,      -0.031
         -14,     -1.2247,     0.03682,     0.02796,     -0.0311
       -13.9,     -1.2214,     0.03602,     0.02713,     -0.0312
       -13.8,     -1.2184,     0.03519,     0.02626,     -0.0314
       -13.7,     -1.2149,     0.03443,     0.02548,     -0.0315
       -13.6,     -1.2109,     0.03374,     0.02476,     -0.0315
       -13.5,      -1.207,     0.03303,     0.02402,     -0.0315
       -13.4,     -1.2033,     0.03231,     0.02327,     -0.0316
       -13.3,     -1.1991,     0.03166,     0.02259,     -0.0316
       -13.2,     -1.1946,     0.03104,     0.02195,     -0.0316
       -13.1,     -1.1901,     0.03042,      0.0213,     -0.0315
         -13,     -1.1857,      0.0298,     0.02065,     -0.0315
       -12.9,     -1.1809,     0.02923,     0.02005,     -0.0315
       -12.8,      -1.176,     0.02868,     0.01948,     -0.0314
       -12.7,     -1.1713,     0.02812,     0.01889,     -0.0313
       -12.6,     -1.1665,     0.02758,     0.01833,     -0.0311
       -12.5,     -1.1617,     0.02707,     0.01779,     -0.0309
       -12.4,     -1.1574,     0.02656,     0.01725,     -0.0307
       -12.3,      -1.154,     0.02606,     0.01673,     -0.0303
       -12.2,     -1.1547,     0.02556,      0.0162,     -0.0293
       -12.1,     -1.1528,     0.02515,     0.01576,     -0.0285
         -12,     -1.1466,     0.02482,      0.0154,     -0.0283
       -11.9,     -1.1397,     0.02453,     0.01509,      -0.028
       -11.8,     -1.1323,     0.02428,     0.01481,     -0.0278
       -11.7,     -1.1244,     0.02404,     0.01455,     -0.0275
       -11.6,     -1.1162,     0.02381,      0.0143,     -0.0273
       -11.5,     -1.1077,      0.0236,     0.01406,     -0.0271
       -11.4,     -1.0989,     0.02339,     0.01384,      -0.027
